Name,Assign,Status
Key words,,Not started
OSI Model,,Models
TCP/IP Model,,Models
LAN,,Packet Tracer
IP Addressing,,Concepts
Protocols,,Concepts
Network architectures,,Concepts
Type of networks,,Concepts
Layer models,,Concepts
Communication network,,Concepts
Network topologies,,Not started
Type of nodes,,Not started
Types of links,,Not started
Communication Methods in Networks,,Concepts
Gene Amdahl's Law,,Concepts
Enrutamiento Dinámico,,Packet Tracer
Enrutamiento estático,,Packet Tracer
,,Not started
,,Not started
,,Not started
,,Not started
"Clase  9 de mayo ",,Not started
Application layer,,Protocols TCP/IP
Transport layer,,Protocols TCP/IP
Network layer,,Protocols TCP/IP
Media access layer,,Protocols TCP/IP
